sentiment	productId	userId	summary	text	helpfulY	helpfulN
		A22SSWTC8FQ0LG	Best coffee!	If you have a coffee grinder, this is the best coffee, I would highly recommend it! The taste and aroma remind me of sitting in a cafe in Holland, relaxing and watching the passersby...	0	0
		AEWOXA1CUTMDV	My dogs love these	I have two indoor small dogs, Poodle and Maltese, and they have high anxiety, especially my maltese and these seem to help! Even if it doesnt they sure love 'em. My maltese before he ate it set it down and rolled all over it, I think he likes it! I'd give it 5 stars but its just a little pricey.	0	0
		A24EK4IERC56NP	Not as good as regular	I couldn't really taste the bergamot in this tea.  It had more of a slight orange peel taste.  Since it is organic, I expected a cleaner, richer taste. It's OK, but not as good as the regular Twinings Earl Grey.  I have had other brands of organic that were superior to either of the Twinings, but at a much higher price.	1	0
		A36RJG7HHV45TQ	Didn't like the taste	With both a stomach problem and a love of coffee, I thought this would be a great solution. I was wrong. I just didn't care for the taste. I recommend trying some low acid coffee once somewhere you can get a small cup before purchasing a 10-pack of bags for home brew. :(	1	0
		A2E58SOV509OGK	Great Cookies	Didn't have time to make these this year so I thought I would buy them. I never buy cookies, but these I would buy again. My son loved them. The only thing I had to do was dip them in white chocolate.<br />Thanks	0	0
		A3R2412NO3M6EP	horrible taste	This stuff tastes like the pink soap in a a gas station bathroom smells.<br /><br />Yuck.<br /><br />I threw the whole bottle away after two tastes.  I only took the second taste to see if it really tasted as bad as it did.	3	3
		A3VPFEBA8VWJ5B	Love it!	I love this coffee!!  I had always mixed my decaf and regular to get 1/2 caffeine and now I can just buy it!!  Perfect amount for me. I enjoy the flavor of coffee!<br /><br />These vacuum sucked packages make it easy to store and use. It keeps the coffee fresh!!  I use then to refill another container and it works well for me!!	1	0
		A1NP2GLYFXFGUN	Not a success	We have three large dogs.  One of our English Pointers has trouble with periodontal disease.  Bright Bites are recommended by VOHC, so decided to give them a try.  I bought the spearmint and the cinnamon flavors.  Our Greyhound will eat them, but neither of our Pointers will even touch them.  For me, the expensive dental treats are a waste.<br />AL	0	0
		A3U7LZDJ6ZF3AU	Great food, but don't buy it here.	The food is great, but the bag that I got from amazon seemed very stale - half of it was smashed to powder, and you can get a better pricess elsewhere.	6	4
		A7K55EQ7IVBFC	Disappointed	We have ordered this coffee on several occasions and have been happy with the it.  The most recent order seemed lacking in quality.  It was bitter and disappointing.	0	0
		AXLEXZ750G5SE	Bought at my local supermarket	I found this in the organic aisle at my local supermarket.  $[...] for one box of 100 opposed to 3 boxes being sold here with no shipping or waiting.  I would just like to know if anyone knows if this is a good quality for being a bagged tea.  I'm not a Pu-erh expert and I am looking for something as authentic as I can get without paying an arm and a leg.  Can anyone suggest a good quality??  The only reason I gave this a 3 is because it is something you can find at your supermarket without buying a pack of 3.	0	4
		AGV7RC5IAOQP0	Not a good batch	"I wonder if I got a bad batch?  I go these with the ""Gold Box"" deal they have going.  Maybe they're not quite as fresh, been around in the warehouse too long or something?  Because these were not near as good as the other Virginia Peanuts I've had or ordered from Amazon in the past.  The ""Royal Oak"" in the blue can is what I got last time and they were much larger, not broken, crunchier, and just better tasting.  Seemed silly to return 2/3 of the order, and they are not really awful, completly fine actually, but my expectations were for a premium product. Fairly decent peanut, but these are suposed to be the best.  They were not.  Going to order the Royal Oak next time."	1	0
		A1T4L0Q47OZ9N	Great for stomach problems!	My shepherd/collie mix has IBS.  Our vet recommended a limited ingredient food.  This has really helped her symptoms and she likes it.  I will always buy it from Amazon...it's $10 cheaper and free shipping!	1	0
		A1RR16ALGFVC3A	Mushy. Yucky	Tried these the other day because of the low price and regreted it from the moment the jar was opened. These sausages tasted like card board soaked in beef flavored vinegar. Im used to eating Glazier's pickled sausages that snap when you bite them. Guess I will stick to what I like.	0	1
		A3ARZW7S96SESC	HORRIBLE I CANT BELIEVE THIS!	Terrible! I cannot believe this, I received this item and EVERY SINGLE BAG WAS OPENED BUT 4!!!! I'm stationed in Afghanistan and this was gonna be a snack for my team while going out on missions. I was so embarrassed when the bags were opened and spilt out all in the box, gross! And the box is filled with grease stains. Idk if it was from the airplane ride all the way here, but the box should have been more insulated and bubble wrap should have been used instead of paper. I'm very unhappy with stale crusty chips out the bag and us soldiers cannot enjoy now.	2	0
		AFZPOIV5W5JY	Great Alternative to Fried	These chips are flavorful without all the fat of fried. I love love the bbq flavor.  I also like how the chips don't crumble in the bag.	0	0
		A1RJSKLAE0WSDE	Christmas treat	I purchased this for Christmas 2011.  I love peppermint bark and like to try a new kind every year.  Its a very special yearly treat for me, so I expect a lot from the product.<br /><br />Pros for Scott's Cakes version:  Good organization and logistics:  the package arrived quickly, the candy was well wrapped in the shipping box and shrink-wrapped in a box of its own.  Candy was in good condition (i.e., no broken pieces) and fresh.<br /><br />This seller's peppermint bark achieves a nice mix of peppermint and white chocolate flavor.  White chocolate gives off a nice mellow tone; it is good quality.  There is no dark chocolate layer to upset the balance of peppermint and white chocolate flavors in one's mouth.  This attracted me to Scott's Cakes.<br /><br />Cons:  The quality of the peppermint pieces in the chocolate was very disappointing.  The ad mentions that the buyer should expect to see pieces of candy cane/peppermint starlight mints mixed with white chocolate.  The photo seems to support this claim, showing robustly sized pieces of candy cane in the bark.  I expected a very crunchy chewing experience, which I think is the hallmark of the best types of peppermint bark.  However, the pieces of peppermint candy are in reality very small; there is no sensation of crispness when taking a bite.  The peppermint candy has a chewy consistency, making it seem more like taffy.  Thus, there is no auditory pleasure in consuming this version of peppermint bark.	1	0
		A26ERUB0VE1IO4	great	These r great, only problem is easy to burn. Needs close attention while cooking. Follow the directions!! I only needed to cook these for one minute in my microwave.	0	0
		A3NQ57QHHLN2O6	36g of sugar still there!	If you think this is going to be a healthy product, you are sadly mistaken. It still contains 36g of sugar per can!  If you want to end up a fat diabetic, by all means, try it. Otherwise, try the ZERO CALORIE, ZERO SUGAR, ZERO CHEMICAL naturally fruit flavored seltzers like those by La Croix.	1	1
		A29R0R2UT7O16T	VERY HAPPY WITH THIS CAYENNE!!!	THIS SELLER WAS GREAT!!!RECIEVED MY ORDER IN ABOUT 4 DAYS!!! THE CAYENNE IS GREAT!!!NICE FLAVOR AND HOT JUST THE WAY I LIKE IT!!! wILL BE BACK FOR MORE AFTER THE 2LBS ARE GONE!!! THANKS FOR A GREAT PRODUCT AT A GOOD PRICE!!!	1	1
		A14EEBPOJP2VPZ	Eh.	Chewy Lemonhead and Friends are my favorite candy. Period. I love them...so much.<br />...(cough)<br />So when I found these I was really excited and bought a pack hoping they'd have that same tartness that makes Lemonhead and Friends so good!<br />Nope. Tasted just like every other jelly-gummy type candy. I was very let down. It was okay for jelly/gummy, but don't expect much.	1	0
		ALYF3U1ERAREB	"Great alternative to ""science diet"" allegry diets"	I have a dog with severe allergies we have been fighting for years. The vets always recommend mass produced allergy formulas like science diet.  I can't stomach feeding my dog that type of garbage. But simple is a good alternative, made with quality ingredients and the dogs love it too.  Great product!!	0	0
		A3HRFH52UB70L7	great product	even my vet approves. these little treats are my dogs favorite. i just get the small ones because i have a small dog.	0	0
		AKHNCFO09GOG7	boring boring boring	"Reading in earlier reviews that these were genuine chinese fortunes, I served them with a chinese Christmas dinner and was greatly disappointed, as were my guests.  Three sample fortunes are:  ""Life is not a struggle.  It's a wiggle.""  ""Management is doing things right: leadership is doing the right things.""  ""If you're feeling down, try throwing yourself into your work.""  These are not fortunes, they are self-help mini-bites.  A fortune is:  ""Your love of travel will soon be satisfied,"" and it doesn't matter if they are predictive or not.  What matters is that they state a fortune.  ""Beware the dog in the corner house,"" would be fun to get.  ""Life is a wiggle"" is boring.<br />The cookies arrived on schedule, as promised, and in good condition in their individual wrappers.  All of that was as I'd hoped.  But content counts, in fortune cookies especially."	2	1
		A3UD2RQCVBAJJG	Don't Buy	This toy did not last. I have a boxer and he chewed the rope off the jar.	0	2
		A2PGOJFX4F8J3Y	It's cool but no miracle	"Before I bought this product I read several reviews saying that this stuff was amazing, that it made everything super sweet. So I thought I would try it out, and it is pretty cool, but not worth the outrageous price. About one minute after I sucked the tab I tried eating numerous things like limes, lemons, and oranges, just to name a few. It did make everything that's sour sweet. Not to the point of ""oh my god, it's amazing"" but it did work. So to sum this up, this stuff was good for a one time deal, but after doing it a few times it lost it's appeal."	2	0
		A1D0IH4JLVH2PC	No Good!	Tart, bitter aftertaste, horrible diet rootbeer!  It makes me feel bad drinking this and I probably won't ever buy this brand name again.	3	2
		A3KIS7K5BFFZ4B	crackers	Great alternative for those who can't eat wheat. A little bland, but crunchy and crispy.	2	0
		A23HRTD9I9K90Z	Smells like pipe tobacco to me	It's distracting to drink something that smells like pipe tobacco, so I am not giving this product a high personal rating. Also, I like my fruit drinks more authentic, with fewer mystery ingredients and preservatives added. This product is so well preserved, they recommend keeping it in the refrigerator, not the freezer.	0	0
		ANTWFMQSZLEJF	Dents in 2 of the tins when arrived	This cocoa is like any other cocoa, other than it is white and turns pink when touches liquid.  The tin is cute, but 2 cans were dented when they arrived. Not sure if it was from shipping or the seller.  A bit over priced in my opinion as well.	0	1
		A28X47RPHH0H8T	My dog won't take it!!!	After reading so many positive reviews, I have really high hope on this products. My 3 year old Shihtzu has been taking Greenies and since it costs significantly higher, I thought I can replace it with C.E.T. But sadly, he won't eat it at all. He simply sniffed at it and then walked away. I've tried in several occasions and I am now giving up and am giving it to neighbor's dog. I do have to note that my dog is a very picky eater. Hence my suggestion: If yours is also a picker on food, then try to get a sample or buy a smaller pack first before getting a large bag like I did.	1	0
		A2P0J7P4Y07TNC	Tastes great, but deceptive labeling	I've used this particular brand of 'white truffle oil' to make truffle butter for my steaks.  I have also drizzled over popcorn for an amazingly new taste.  So if you love the smell of truffles, then you'll probably like this product.<br /><br />My gripe is with the labeling.  It makes it seem as if real truffles are somehow involved with this product, they are not.  If you look at the ingredients, there are two:  olive oil and white truffle aroma.  Well truffle aroma is just 2,4-Dithiapentane.  You are buying 'perfumed' olive oil that smells like truffles, or at least what most of us have been lead to believe truffles smell like.  So buyer beware, it tastes and smells great, but this is not a real truffle product.	7	1
		A2PU80LCKRMC9X	Will not buy again...	I didn't like this coffee. It did have a good smell when I first opened the pack, but that is about it. I like a medium to strong flavor in my coffees and this was just plain weak. I guess if you have stomach problems or just like a light coffee this would be great, but anyone who likes alot of flavor won't like this.	2	0
		AF7NCG0GVBNSU	Lip smackin good!	Just tried the Doctor Kracker seedlander crackers today and they are delicious! I'm going to try their other flavors soon. Can't believe how good these are.	0	0
		AT96TYI24GKXH	Mostly Just Sauce	"The variety pack has two flavors and styles of cat food. Chicken Pot Pie:  be careful when you open the can because it is mostly filled with liquid that could easily spill out. it seems to be little square bite size (for cats) pieces of a chicken-like item, in a broth, mostly broth. Each of my cats, one of whom is a fairly picky eater, both seemed to enjoy this food and ate it straight way. Seemed to enjoy I say, since it turns out my picky eater was actually only lapping up the ""soup"" or the sauce, and leaving behind the 8 or so little bits of meat like substance (it could actually be chicken, sure looked like it). And frankly, even with the manufacturer's recommendation of what would amount to 6 or more cans a day for my larger 12 lb cat, just not enough food there to satisfy him, mostly liquid.<br /><br />Chinese Chicken: Once again, fairly saucy, but with a much higher meat:sauce ratio, with what looked like a fair amount of shredded chicken. Once again, my picky eater just lapped up the sauce, and my other big guy, who eats anything, really was not interested, no matter how hungry he was.<br /><br />And please tell me why there are little tiny chunks of carrots in each of these? Cats have no interest in carrots, do they have some need for Vit A that is not fulfilled in the supplementation of this food? I doubt it, that is in there for us humans... stupid.<br />I gave this two stars instead of one, because one of my cats quite liked the sauce."	0	1
		A11V7W73DYY0A	A truly energizing, natural elixir!	I make coconut water a part of my daily regimen, whether I've exercised or not. It gives my body a much better - and healthier - boost than caffeine, and gives me an overall feeling of well-being. I recommend this to everyone, the only downside is one could go broke drinking a liter box every day like I've been doing.	5	0
		A3EYCIUESCJJUW	Yummy sauce!	This sauce is an excellent blend of sweet and spicy.  I love it with eggrolls, rice, just about anything that needs an extra kick.  Give it a try!	0	0
		A2G247O9SQN38L	Jar not sealed	There was no seal of any kind on jar. Cap had loosened slightly and some of the paprika had spilled out. Would not chance using an open jar so in the trash it went.	2	0
		A1MUIYG87LPGZZ	Allergy Info	"I bought this after researching the La Tourangelle website and reading everything on the Amazon page, specifically looking for allergy information.  It wasn't until I actually received my order that I found ""May contain trace amounts of tree nuts, sesame seeds and peanuts.""  Amazon will not accept returns for this product."	2	8
		A31N6KB160O508	Firm quality chip	Just got this order and it is ok. A bit light on the cheddar flavoring and herb taste eludes me, if it is there.	0	0
		A1SLY30AIW1185	Gets the job done	"My fiance' loves fortune cookies so I figured this would be a great creative way to pop the question. Well, she loved the idea when I finally did it last friday (although, somehow she had me figured out from the beginning lol).<br /><br />Anyway, I wasn't particularly thrilled about the quality of these cookies. The seams weren't completely shut. I could see the word ""Will"" through the backside of the cookie.<br /><br />Also, a huge warning for someone looking for an authentic cookie to give.... the wrapper is just that, a plain plastic wrapper. I was expecting some Chinese lettering or some kind of design to make it a little more believeable.<br /><br />And last but not least, the price. For the quality you're getting, I'd be more inclined to try the trick (tutorials online) of opening up a cookie and placing the message inside myself. At least then I could put exactly what I wanted. They are way overpriced for what you're getting.<br /><br />Buy only out of desperation."	1	0
		AZ52YGGY31K31	NOT ENOUGH MANGOS!!!	Each package of mangos is like 25% full, pretty ridiculous if you ask me. Also, the mangos don't taste that good, at least in the package I got. They are not that sweet, and kind of hard to chew. If you want to get dried mangos, I would recommend going to a farmer's market. At least from my experience, the ones there tend to be much sweeter than these.	0	0
		A2H2QNLR2KAIRS	Ridiculously Expensive!!	A pack of 18 on any of Horizon's flavors, cost about $15.00 this is RIDICULOUSLY EXPENSIVE!! But the product itself is EXCELLENT!!	3	0
		A2YIMFA6PDR5IL	dangerous	I purchase a bag of the blueberry & apple tiny fruits today excited to discover and try a new product that fits my believes (healthy, organic, no additives, working with local communities, etc). I am so glad that I tried the fruits prior to inviting my 9 month old child to eat them. The blueberries that first came into my mouth where hard as rock and did NOT dissolve. A total choking hazard.	2	2
		A1X1SE0D8U0XDL	Yummy Coffee	I love the Wolfganag Puck flavors.  This Vienna blend is very nice.  It is medium roast so it is not too strong.  Has a wonderful flavor without being a flavored coffee.  One of my favorites.	0	0
		A2I5LVVQ7WXEH6	Mrs. May's Almonds make my days!	This is a great product.  We tried it at the beach the first time and loved it.  The cashew crunch was not as good.<br />We bought a case of the almond this week.  Just great!	0	3
		AXJP7CQYTC52	Tastes Like Styrofoam...	I would not recommend unless you like the texture and flavor of plain rice cakes.	4	7
		A32T42NWAJTZV1	The Good and Bad	We have 3 cats, 2 male and 1 female.  They adjusted great on it, and their stool was quite less smelly :)  BUT after 3 weeks of use our female cat developed a urinary tract infection and the doctor said some cats can't handle the high levels of protein in some foods and higher levels of ash, magnesium, and calcium.  He told us to switch foods immediately.  So we did, the last thing you want is a cat with a uti!  If your cats are sensitive like ours seems to be this isn't the food for you!  But for bigger stronger cats it seemed ok.  Our female cat does fine with table scraps, but she is a petite cat so all the protein and minerals was too much for her.  We switched to Purina Pro Plan chicken, special urinary tract formula and they seem to be adjusting well (all 3!)	10	4
		AATO48RRH41PU	Awesome	This is the absolute and complete BEST beef jerky that I have ever had. You'll be hard pressed to find better, if you can. It's tender and has a good bite but at the same time you won't rip your teeth out either. It's also not too salty.	2	1
		A2E4NXOR0CX3LG	Excellent!	This is amongst the best Karachi Halwa I have eaten. Not rubbery or super chewy like a lot of the other ones...just perfect.. individually wrapped pieces in the box.	1	0
		AS6SH2JM2YY3H	Pineapple flavored coconut water from Indonesia... there's something we really need!	"Coconut water with a hint of pineapple, shipped to the US from Indonesia, packaged in (usually) non-recyclable, disposable containers, and catering to the... sports drink market (""good source of electrolytes"")?<br /><br />I took a  8.5 ounce container and poured 6 servings, for 4 teenagers and 2 adults.  First impression?  The teens (serious athletes) were not told what the drink was, but I did mention that it was being marketed as a potential sports drink.<br /><br />The result?  No negative votes, but no one would choose it over existing drinks.  Everyone recognized the pineapple flavor instantly.  ""It leaves a strange feeling in my mouth,"" one teen said.  This was probably the coconut water; it had a residual flavor and feel.<br /><br />There was no straw included with the package, so the opening and pouring needed the assistance of a fork or knife.  It's mostly (cane) sugar water, so why bother?<br /><br />But the biggest issue is the waste.  Coconut sugar water from Indonesia?  What's the carbon footprint of this product?  And the container has 2 ""recycle"" symbols on it, but, like milk cartons, it is difficult to find a community that will actually keep them out of the landfill.<br /><br />Bottom line?  It's not that tasty, being little more than sugar water, and the transport and packaging waste really don't fit into a culture (for me) focusing on sustainability."	1	3
		A22A19DIHY5L0G	Super healthy :)	People that research this product knows that is good to lower your cholesterol and is a great food for busy people that can have just juice for breakfast. The seller was extra nice and took care of me cause my package got lost in the mail and now I finally got it :)<br />Thanks guys!!!	0	0
		A1MAFNKH2CVMU2	Dangerous and not durable	"This is the second ""Tug-a-Jug"" food puzzle I've purchased for my wire fox terrier. The first lasted about five months until she chewed through the rope. But this toy kept my dog more occupied than any other food puzzle I've tried, so I decided to purchase a second one. My plan was to put this one away as soon as my dog was done with her food so she wouldn't ""play"" with it and chew through the rope. So in other words, I blame my dog's destructive terrier prowess on the demise of the first toy rather than the manufacturer.<br /><br />But after just one week of use for the second toy, the bottom part where the end seals onto the main container literally cracked and shattered into many pieces when I was sealing the toy.<br /><br />My dog may chew through ropes but she's not that rough with toys, and I was using normal strength to twist the end piece on, so I'm pretty sure this one was a dud. But after that, I'm totally done with this company. The shards that came off in my hand were tiny and sharp enough that if just one shard had broken off without my notice and go mixed in with my dog's food, she probably would have ingested it and had internal bleeding."	2	0
		A33OK99AQT4864	This is good coffee	It has a nice strong flavor with no bitterness.<br /><br />How strong is it? I would say it is similar in strength to auto-drip using 1 rounded tablespoon of coffee per 8oz of water.	5	1
		A2PI925VO6INSN	These have proven TOXIN!	Please be aware that these bars have ALFALFA that has a proven Toxin (L-canavanine: this is an analog of an amino-acid that 'tricks' your body into forming dysfunctional DNA!). When studied in monkeys (they will not dare study this in people, even though there have been many case reports), ALFALFA is a toxin that INDUCES LUPUS!!! Beware! Why do these natural companies put bad ingredients in their products!?  Dr. CK	5	5
		A23W4SGMFMSE5N	Like to gamble? Buying the St. Patty's Dried Fruit Basket is a Crap-Shoot	"Buying this product seems to be almost literally like rolling the dice in a game of craps!<br /><br />My experience with this seems to be similar to the experience of ""Peter R."", unfortunately.<br /><br />The price was excellent.  I ordered mine after the date of "" J. Robert Bois'"" positive experience / review was written but before the date of ""Cindy 2366's"" positive experience / written review.  I bought these & gave them to my Dad, as he *LOVES* dates.  I noticed when I was visiting him, the dried fruit basket was hanging around in his 'fridge a lot longer than any other date basket I had ever ordered for him.<br /><br />Finally I asked him about them.  He said that he did not want to be rude to me or hurt my feelings but....  the dates, well, he was wondering if he should try & eat the seeds in the center & see if they were soft, because the dates themselves were hard as a rock & tasted stale.  I was mortified to say the least...  Then he wanted to know (jokingly) if he had done something to make me mad & I bought these for him as his punishment.  (No, but I had to laugh when he asked about that.)<br />Me personally, I have not tried them.  I will take his word for it!  :)<br /><br />I told him to throw it away or put it out for the squirrels.  After a week of offering the dates,  I picked them up out of his backyard and threw them away.  The squirrels, opossums, & raccoons declined to dine on the dates.<br /><br />It seems to be hit or miss with the ""Broadway Basketeers Irish St. Patrick's Dried Fruit Gift Basket"" purchase.<br /><br />I will not say flat out ""NO!  Do Not Purchase This Item, It is Not Good!""  That is a choice you will have to make on your own.  I just wanted to pass along my experience with the gift basket.<br /><br />Thank Goodness I caught it when it was on special & did not have the full current purchase price invested in the box!  I would have been really sad then!<br /><br />Amazon, as usual, did a fabulous job with the shipping, packaging, and they arrived quickly, in the time frame advertised / promised.<br /><br />Best of luck & I hope others have better experiences than my Dad / I had!<br /><br /><a href=""http://www.amazon.com/gp/product/B004134H9W"">Broadway Basketeers Irish St. Patrick's Dried Fruit Gift Basket</a>"	0	0
		A139TK2PDWCMLW	Nothing like the real cup of coffee at Starbucks	Don't waste your money. Buy the real cup of coffee and spend the time and money at a coffee shop.	0	2
		ATICQIH8TUR53	Difficult for my dog	Have a border collie that I was hoping would love this toy.  It is sturdy enough and well made but I can't find any kibble that fits.  Anything I have put in the jar is too large for the dog to successfully get out.  Right now she just walks around with the rope in her mouth and the jar dangling.  Just be aware that it takes a very small treat to go in the jar.	0	0
		A30GTV8XR6ZGTC	Healthy Stuff	This stuff is great because it's low glycemic. Substitute this to sugar and you'll be doing your body a great favor.  This size is economical and shipping is fast, too.  I got mine very soon.	0	0
		A3E3YJO2V3YZUM	Guess I'm in the Minority	I was looking for a good sweet and sour sauce for chicken and based on the reviews, I took a chance.  Well, no one in the family likes this stuff- it tastes nothing like sweet and sour sauce- more like what it says it is- Chili Sauce.  Now I'm stuck with two huge bottles.  Sometimes reading the label is really all that matters.	2	13
		A3SP5IXXXYWG16	Jamaica Me Crazy Coffee	It was as good, if not better, than I was told!  Great taste!  I will puchase it again.	0	0
		A39SCU7KSK7330	I LOVE the others NOT the Bars	"I bought a box, waist'd my $$ but people love me that I could give them this!!!<br />AFTER having a bough of HAVING to rush to bathroom I re-read the posts! AND looked at ingredients closer!<br />Gluten Free Whole Grain Dextrins<br />IF you don't have a problem GREAT! If you do you may end up re-reading the 1's later -}<br />I like the idea of Bites had them before. going to try out Pamela's.<br />I Love the Nana's Cookies but IT's VERY hard Not to eat the Whole cookie! The  <a href=""http://www.amazon.com/gp/product/B000FNEX8C"">Nana's No Gluten Lemon Cookie, 3.5-Ounce Cookies (Pack of 12)</a> & <a href=""http://www.amazon.com/gp/product/B000FNB3BC"">Nana's No Gluten Ginger Cookie, 3.5-Ounce Packages (Pack of 12)</a> It's TWO servings!! Plus the texture is soooo smooth it go's down VERY easy! I don't have Coffee or Chocolate anymore! Have Green Tea Decaf.<br />NEED to go to the Nana's Banana Bars + modify or delete my post!<br />Only Bites I hope Pamela's ginger works out for me!<br />I Do LOVE this TOO <a href=""http://www.amazon.com/gp/product/B000FVUM0C"">Lundberg Eco-Farmed Honey Nut Rice Cake, 9.5-Ounce Units  (Pack of 12)</a> +<a href=""http://www.amazon.com/gp/product/B000FVUM02"">Lundberg Eco-Farmed Buttery Caramel Rice Cake, 9.5-Ounce Units  (Pack of 12)</a> + <a href=""http://www.amazon.com/gp/product/B000FVZW7K"">Lundberg Eco-Farmed Brown Rice Cake, Salt Free, 8.5-Ounce Units  (Pack of 12)</a>"	1	1
		A2MGH3MBXMKD96	Quality varies	I have bought these twice now. The first order was great, great flavor, crunchy, very fresh tasting. I was so impressed I quickly ordered a second batch. Since the first were so fresh, I figured they'd last awhile.<br /><br />The second batch was bad. Stale and not very crisp with a sort of mild chemical taste rather then that nice cheesy flavor. I had a hard time believing they were even the same product. I'm eating them slowly because I generally don't believe in wasting food that is edible, but I hesitate now to try other things.	0	0
		AC04MNII0B5B9	Bitter, not bold	I like the flavor of coffee, but Emeril's doesn't have that traditional coffee flavor. It's pretty bitter--so much so, that 2 Splenda packets in a 16 oz cup don't mask the bitterness. Three stars because it's tolerable, but I'm holding out for tastier coffee.	0	0
		A2MK7OAT029AMI	Not for us...  better off with a different product!	Terrible clunky product.. drawer doesn't open/close without making clunky noises.  Not a space saver, hard on the eyes.  Would return it for a refund if I weren't terribly lazy.  Go to Bed Bath and Beyond and use a 20% off coupon for something else.  Not worth it.	5	0
		A3QJILXTHLKAD2	My picky eater likes these	I was skeptical that my dog would chew on these treats, but he does seem to like them.  They smell like cinnamon and are very low in calories.  My mini dachshund suffered kidney damage after contracting Leptospirosis.  He is on a special diet of rice and a small amount of protein.  Dogs on these diets often suffer from dental disease. I needed something to clean his teeth, but also not introduce high protein to his diet. These chews are 18% crude protein, much lower than other chews, and contain fiber (chia seeds and flaxseed) and antioxidents like green tea. A win-win situation for my dog's overall health.	0	0
